ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,source,fetched_at
600150.SH,2025-06-26,31.41,32.38,31.36,31.69,31.51,0.18,0.5712,701784.5,2247123.064,tushare,2026-06-21 13:31:06
600150.SH,2025-06-27,31.61,32.05,31.52,31.82,31.69,0.13,0.4102,404694.61,1287840.928,tushare,2026-06-21 13:31:06
600150.SH,2025-06-30,32.1,32.66,32.1,32.54,31.82,0.72,2.2627,607467.24,1973434.852,tushare,2026-06-21 13:31:06
600150.SH,2025-07-01,32.59,33.47,32.32,33.33,32.54,0.79,2.4278,803646.78,2657108.461,tushare,2026-06-21 13:31:06
600150.SH,2025-07-02,33.66,33.8,32.96,33.03,33.33,-0.3,-0.9001,745185.04,2477678.043,tushare,2026-06-21 13:31:06
600150.SH,2025-07-03,33.03,33.5,32.68,33.26,33.03,0.23,0.6963,545473.06,1803020.605,tushare,2026-06-21 13:31:06
600150.SH,2025-07-04,33.3,33.32,32.7,32.81,33.26,-0.45,-1.353,446148.32,1468834.927,tushare,2026-06-21 13:31:06
600150.SH,2025-07-07,33.6,33.7,32.91,33.2,32.81,0.39,1.1887,617247.38,2052995.19,tushare,2026-06-21 13:31:06
600150.SH,2025-07-08,33.19,33.2,32.71,32.97,33.2,-0.23,-0.6928,437764.49,1438612.191,tushare,2026-06-21 13:31:06
600150.SH,2025-07-09,32.9,33.05,32.4,32.52,32.97,-0.45,-1.3649,421603.82,1380091.738,tushare,2026-06-21 13:31:06
600150.SH,2025-07-10,32.49,32.61,32.34,32.38,32.52,-0.14,-0.4305,352901.99,1144857.614,tushare,2026-06-21 13:31:06
600150.SH,2025-07-11,32.84,35.33,32.82,34.77,32.38,2.39,7.3811,1781810.71,6152027.402,tushare,2026-06-21 13:31:06
600150.SH,2025-07-14,34.5,34.59,33.71,33.73,34.77,-1.04,-2.9911,824076.32,2801870.875,tushare,2026-06-21 13:31:06
600150.SH,2025-07-15,33.75,34.23,33.69,33.95,33.73,0.22,0.6522,507250.05,1721148.357,tushare,2026-06-21 13:31:06
600150.SH,2025-07-16,33.98,34.09,33.7,33.77,33.95,-0.18,-0.5302,330279.68,1118123.672,tushare,2026-06-21 13:31:06
600150.SH,2025-07-17,33.79,33.97,33.55,33.87,33.77,0.1,0.2961,435056.26,1468321.709,tushare,2026-06-21 13:31:06
600150.SH,2025-07-18,33.88,34.19,33.78,34.08,33.87,0.21,0.62,408671.87,1390224.171,tushare,2026-06-21 13:31:06
600150.SH,2025-07-21,35.02,35.27,34.31,34.79,34.08,0.71,2.0833,834170.66,2897936.748,tushare,2026-06-21 13:31:06
600150.SH,2025-07-22,34.8,34.92,34.41,34.7,34.79,-0.09,-0.2587,543943.83,1885049.303,tushare,2026-06-21 13:31:06
600150.SH,2025-07-23,34.7,34.98,34.48,34.6,34.7,-0.1,-0.2882,505002.66,1751348.417,tushare,2026-06-21 13:31:06
600150.SH,2025-07-24,34.59,34.96,34.43,34.89,34.6,0.29,0.8382,459811.53,1598849.387,tushare,2026-06-21 13:31:06
600150.SH,2025-07-25,34.89,35.5,34.59,35.13,34.89,0.24,0.6879,600474.56,2101467.045,tushare,2026-06-21 13:31:06
600150.SH,2025-07-28,35.17,35.23,34.66,34.9,35.13,-0.23,-0.6547,486344.79,1697873.472,tushare,2026-06-21 13:31:06
600150.SH,2025-07-29,34.76,35.25,34.61,35.02,34.9,0.12,0.3438,379710.54,1327981.574,tushare,2026-06-21 13:31:06
600150.SH,2025-07-30,35.02,35.33,34.6,34.82,35.02,-0.2,-0.5711,499718.68,1749184.173,tushare,2026-06-21 13:31:06
600150.SH,2025-07-31,34.61,34.82,34.14,34.33,34.82,-0.49,-1.4072,546743.66,1883001.225,tushare,2026-06-21 13:31:06
600150.SH,2025-08-01,34.2,34.37,33.79,33.88,34.33,-0.45,-1.3108,413384.18,1405285.959,tushare,2026-06-21 13:31:06
600150.SH,2025-08-04,33.75,34.12,33.58,34.04,33.88,0.16,0.4723,385901.13,1309591.352,tushare,2026-06-21 13:31:06
600150.SH,2025-08-05,35.2,35.3,34.28,35.01,34.04,0.97,2.8496,963114.61,3359276.863,tushare,2026-06-21 13:31:06
600150.SH,2025-08-06,35.47,38.51,35.13,38.51,35.01,3.5,9.9971,2241049.55,8456751.349,tushare,2026-06-21 13:31:06
600150.SH,2025-08-07,40.0,40.1,38.12,38.6,38.51,0.09,0.2337,2419917.73,9439188.646,tushare,2026-06-21 13:31:06
600150.SH,2025-08-08,38.5,39.99,38.3,38.99,38.6,0.39,1.0104,1530248.05,5998330.238,tushare,2026-06-21 13:31:06
600150.SH,2025-08-11,39.15,39.25,37.8,37.88,38.99,-1.11,-2.8469,1483287.39,5649500.009,tushare,2026-06-21 13:31:06
600150.SH,2025-08-12,37.88,39.23,37.2,38.5,37.88,0.62,1.6367,1583927.99,6063671.86,tushare,2026-06-21 13:31:06
600150.SH,2025-08-19,40.98,40.98,38.38,38.38,38.5,-0.12,-0.3117,2474327.77,9759054.262,tushare,2026-06-21 13:31:06
600150.SH,2025-08-20,37.89,37.9,35.5,37.1,38.38,-1.28,-3.3351,1529543.36,5648426.473,tushare,2026-06-21 13:31:06
600150.SH,2025-08-21,37.1,37.3,36.6,36.72,37.1,-0.38,-1.0243,953611.6,3510340.745,tushare,2026-06-21 13:31:06
600150.SH,2025-08-22,36.72,37.03,36.25,36.93,36.72,0.21,0.5719,1094617.78,4011411.993,tushare,2026-06-21 13:31:06
600150.SH,2025-08-25,36.96,38.02,36.95,37.43,36.93,0.5,1.3539,1332769.45,5001761.975,tushare,2026-06-21 13:31:06
600150.SH,2025-08-26,37.53,37.53,36.9,36.9,37.43,-0.53,-1.416,1028288.08,3805108.889,tushare,2026-06-21 13:31:06
600150.SH,2025-08-27,36.9,37.38,36.52,36.54,36.9,-0.36,-0.9756,983190.3,3628721.765,tushare,2026-06-21 13:31:06
600150.SH,2025-08-28,36.49,36.83,35.88,36.82,36.54,0.28,0.7663,899410.71,3271592.006,tushare,2026-06-21 13:31:06
600150.SH,2025-08-29,36.84,37.55,36.78,37.38,36.82,0.56,1.5209,1158858.51,4312944.164,tushare,2026-06-21 13:31:06
600150.SH,2025-09-01,37.78,39.15,37.25,38.92,37.38,1.54,4.1199,1642589.93,6257993.978,tushare,2026-06-21 13:31:06
600150.SH,2025-09-02,38.92,38.94,37.88,38.45,38.92,-0.47,-1.2076,1030939.46,3956275.559,tushare,2026-06-21 13:31:06
600150.SH,2025-09-03,38.84,38.93,37.02,37.52,38.45,-0.93,-2.4187,1171545.38,4448319.013,tushare,2026-06-21 13:31:06
600150.SH,2025-09-04,37.3,38.85,37.05,38.53,37.52,1.01,2.6919,1501007.26,5744407.099,tushare,2026-06-21 13:31:06
600150.SH,2025-09-05,38.56,39.56,38.2,39.46,38.53,0.93,2.4137,1551131.04,6057185.815,tushare,2026-06-21 13:31:06
600150.SH,2025-09-08,39.17,39.19,38.19,38.38,39.46,-1.08,-2.7369,1023512.73,3943826.696,tushare,2026-06-21 13:31:06
600150.SH,2025-09-09,38.16,38.48,37.73,37.84,38.38,-0.54,-1.407,662253.54,2519606.364,tushare,2026-06-21 13:31:06
600150.SH,2025-09-10,37.71,38.29,37.28,37.98,37.84,0.14,0.37,658958.28,2485791.686,tushare,2026-06-21 13:31:06
600150.SH,2025-09-11,37.85,37.97,37.28,37.93,37.98,-0.05,-0.1316,673732.19,2535699.687,tushare,2026-06-21 13:31:06
600150.SH,2025-09-12,38.12,38.67,37.89,38.02,37.93,0.09,0.2373,636045.64,2428179.937,tushare,2026-06-21 13:31:06
600150.SH,2025-09-15,38.01,38.8,37.55,38.51,38.02,0.49,1.2888,837630.0,3195002.704,tushare,2026-06-21 13:31:06
600150.SH,2025-09-16,38.07,38.07,36.88,37.04,38.51,-1.47,-3.8172,1449713.9,5409508.765,tushare,2026-06-21 13:31:06
600150.SH,2025-09-17,37.0,37.0,36.02,36.07,37.04,-0.97,-2.6188,1356587.8,4919033.716,tushare,2026-06-21 13:31:06
600150.SH,2025-09-18,35.9,36.45,35.0,35.25,36.07,-0.82,-2.2734,1621817.14,5797414.94,tushare,2026-06-21 13:31:06
600150.SH,2025-09-19,35.15,35.48,35.07,35.21,35.25,-0.04,-0.1135,675691.61,2383026.117,tushare,2026-06-21 13:31:06
600150.SH,2025-09-22,35.21,35.8,34.53,35.77,35.21,0.56,1.5905,994574.25,3493233.666,tushare,2026-06-21 13:31:06
600150.SH,2025-09-23,35.8,35.8,34.82,35.07,35.77,-0.7,-1.9569,744907.35,2620433.63,tushare,2026-06-21 13:31:06
600150.SH,2025-09-24,34.8,35.34,34.78,35.19,35.07,0.12,0.3422,554119.21,1946398.102,tushare,2026-06-21 13:31:06
600150.SH,2025-09-25,34.97,35.08,34.72,34.89,35.19,-0.3,-0.8525,597999.02,2087403.822,tushare,2026-06-21 13:31:06
600150.SH,2025-09-26,34.8,35.4,34.69,34.9,34.89,0.01,0.0287,598119.37,2098546.761,tushare,2026-06-21 13:31:06
600150.SH,2025-09-29,34.75,35.17,34.33,34.57,34.9,-0.33,-0.9456,841153.42,2920920.906,tushare,2026-06-21 13:31:06
600150.SH,2025-09-30,34.65,34.84,34.41,34.6,34.57,0.03,0.0868,865588.52,2995035.089,tushare,2026-06-21 13:31:06
600150.SH,2025-10-09,34.47,35.05,34.25,35.04,34.6,0.44,1.2717,1031166.44,3584704.121,tushare,2026-06-21 13:31:06
600150.SH,2025-10-10,35.03,35.29,34.85,34.95,35.04,-0.09,-0.2568,862229.0,3020892.417,tushare,2026-06-21 13:31:06
600150.SH,2025-10-13,34.0,34.83,33.83,34.69,34.95,-0.26,-0.7439,808580.2,2781594.904,tushare,2026-06-21 13:31:06
600150.SH,2025-10-14,34.99,35.8,34.93,35.29,34.69,0.6,1.7296,1172838.72,4144919.46,tushare,2026-06-21 13:31:06
600150.SH,2025-10-15,35.29,35.35,34.78,35.33,35.29,0.04,0.1133,779657.19,2734166.118,tushare,2026-06-21 13:31:06
600150.SH,2025-10-16,35.26,35.64,35.13,35.29,35.33,-0.04,-0.1132,664833.98,2351300.337,tushare,2026-06-21 13:31:06
600150.SH,2025-10-17,35.26,35.61,34.6,34.66,35.29,-0.63,-1.7852,800893.08,2817009.251,tushare,2026-06-21 13:31:06
600150.SH,2025-10-20,34.8,35.28,34.58,34.89,34.66,0.23,0.6636,552672.81,1933864.079,tushare,2026-06-21 13:31:06
600150.SH,2025-10-21,35.31,36.5,35.31,36.29,34.89,1.4,4.0126,1497434.32,5410392.089,tushare,2026-06-21 13:31:06
600150.SH,2025-10-22,36.0,36.18,35.55,35.65,36.29,-0.64,-1.7636,771880.94,2762309.35,tushare,2026-06-21 13:31:06
600150.SH,2025-10-23,35.63,35.68,35.07,35.45,35.65,-0.2,-0.561,528288.19,1863118.496,tushare,2026-06-21 13:31:06
600150.SH,2025-10-24,35.47,36.07,35.47,35.72,35.45,0.27,0.7616,669270.99,2397727.768,tushare,2026-06-21 13:31:06
600150.SH,2025-10-27,36.2,36.97,36.17,36.55,35.72,0.83,2.3236,1277787.4,4677325.352,tushare,2026-06-21 13:31:06
600150.SH,2025-10-28,36.5,36.85,36.28,36.62,36.55,0.07,0.1915,898147.94,3283349.399,tushare,2026-06-21 13:31:06
600150.SH,2025-10-29,36.66,36.8,36.34,36.73,36.62,0.11,0.3004,794833.9,2907662.042,tushare,2026-06-21 13:31:06
600150.SH,2025-10-30,36.67,36.68,36.02,36.04,36.73,-0.69,-1.8786,850832.36,3090251.247,tushare,2026-06-21 13:31:06
600150.SH,2025-10-31,36.41,36.76,35.86,35.9,36.04,-0.14,-0.3885,829802.61,3004785.928,tushare,2026-06-21 13:31:06
600150.SH,2025-11-03,35.8,36.49,35.73,36.43,35.9,0.53,1.4763,760573.52,2750681.094,tushare,2026-06-21 13:31:06
600150.SH,2025-11-04,36.46,36.55,35.88,36.25,36.43,-0.18,-0.4941,696234.45,2516221.899,tushare,2026-06-21 13:31:06
600150.SH,2025-11-05,35.91,36.44,35.71,36.15,36.25,-0.1,-0.2759,591952.97,2132078.051,tushare,2026-06-21 13:31:06
600150.SH,2025-11-06,36.09,36.25,35.84,35.95,36.15,-0.2,-0.5533,602283.42,2169120.474,tushare,2026-06-21 13:31:06
600150.SH,2025-11-07,35.96,36.85,35.8,35.81,35.95,-0.14,-0.3894,1286002.7,4665225.397,tushare,2026-06-21 13:31:06
600150.SH,2025-11-10,35.66,35.66,34.92,35.23,35.81,-0.58,-1.6197,937583.84,3301620.7,tushare,2026-06-21 13:31:06
600150.SH,2025-11-11,35.38,35.59,34.81,34.82,35.23,-0.41,-1.1638,708096.05,2482598.563,tushare,2026-06-21 13:31:06
600150.SH,2025-11-12,34.78,34.78,34.27,34.46,34.82,-0.36,-1.0339,589558.76,2034250.979,tushare,2026-06-21 13:31:06
600150.SH,2025-11-13,34.46,34.62,34.43,34.6,34.46,0.14,0.4063,462701.33,1597057.163,tushare,2026-06-21 13:31:06
600150.SH,2025-11-14,34.47,34.61,34.3,34.31,34.6,-0.29,-0.8382,357150.83,1230096.936,tushare,2026-06-21 13:31:06
600150.SH,2025-11-17,34.8,35.18,34.58,34.65,34.31,0.34,0.991,786772.06,2745152.466,tushare,2026-06-21 13:31:06
600150.SH,2025-11-18,34.64,34.64,34.0,34.02,34.65,-0.63,-1.8182,558126.18,1904806.034,tushare,2026-06-21 13:31:06
600150.SH,2025-11-19,34.03,35.05,33.93,34.98,34.02,0.96,2.8219,1106139.54,3835089.991,tushare,2026-06-21 13:31:06
600150.SH,2025-11-20,34.7,34.82,34.4,34.41,34.98,-0.57,-1.6295,586292.56,2027413.076,tushare,2026-06-21 13:31:06
600150.SH,2025-11-21,34.2,34.83,33.95,34.26,34.41,-0.15,-0.4359,841279.0,2893438.169,tushare,2026-06-21 13:31:06
600150.SH,2025-11-24,34.17,35.5,34.1,35.49,34.26,1.23,3.5902,1425619.36,5022874.99,tushare,2026-06-21 13:31:06
600150.SH,2025-11-25,35.3,35.31,34.81,34.93,35.49,-0.56,-1.5779,993883.33,3480239.756,tushare,2026-06-21 13:31:06
600150.SH,2025-11-26,34.76,34.78,34.11,34.23,34.93,-0.7,-2.004,781561.62,2681298.507,tushare,2026-06-21 13:31:06
600150.SH,2025-11-27,34.2,34.31,34.09,34.14,34.23,-0.09,-0.2629,412672.59,1411025.642,tushare,2026-06-21 13:31:06
600150.SH,2025-11-28,34.16,34.55,34.07,34.37,34.14,0.23,0.6737,469272.85,1609482.472,tushare,2026-06-21 13:31:06
600150.SH,2025-12-01,34.26,34.43,34.16,34.34,34.37,-0.03,-0.0873,434066.56,1488411.462,tushare,2026-06-21 13:31:06
600150.SH,2025-12-02,34.37,34.65,34.27,34.36,34.34,0.02,0.0582,520463.64,1793068.653,tushare,2026-06-21 13:31:06
600150.SH,2025-12-03,34.21,34.34,33.83,33.83,34.36,-0.53,-1.5425,592070.84,2012876.454,tushare,2026-06-21 13:31:06
600150.SH,2025-12-04,33.7,33.82,33.32,33.5,33.83,-0.33,-0.9755,497779.5,1668661.789,tushare,2026-06-21 13:31:06
600150.SH,2025-12-05,33.56,33.89,33.48,33.77,33.5,0.27,0.806,397738.21,1340479.57,tushare,2026-06-21 13:31:06
600150.SH,2025-12-08,33.85,34.35,33.73,33.74,33.77,-0.03,-0.0888,472896.34,1608031.683,tushare,2026-06-21 13:31:06
600150.SH,2025-12-09,34.66,35.48,34.56,34.56,33.74,0.82,2.4303,1385630.26,4844075.788,tushare,2026-06-21 13:31:06
600150.SH,2025-12-10,34.33,34.8,34.32,34.66,34.56,0.1,0.2894,538566.51,1861601.214,tushare,2026-06-21 13:31:06
600150.SH,2025-12-11,34.65,34.7,34.04,34.09,34.66,-0.57,-1.6445,474427.61,1628298.575,tushare,2026-06-21 13:31:06
600150.SH,2025-12-12,34.08,34.47,34.01,34.21,34.09,0.12,0.352,509974.12,1749243.022,tushare,2026-06-21 13:31:06
600150.SH,2025-12-15,34.12,34.24,33.8,33.81,34.21,-0.4,-1.1692,434375.34,1475350.124,tushare,2026-06-21 13:31:06
600150.SH,2025-12-16,33.82,33.82,32.8,32.81,33.81,-1.0,-2.9577,685540.5,2264501.17,tushare,2026-06-21 13:31:06
600150.SH,2025-12-17,32.68,33.02,32.48,32.95,32.81,0.14,0.4267,467912.29,1530604.539,tushare,2026-06-21 13:31:06
600150.SH,2025-12-18,32.71,32.89,32.64,32.65,32.95,-0.3,-0.9105,352304.13,1153400.621,tushare,2026-06-21 13:31:06
600150.SH,2025-12-19,32.65,33.2,32.61,33.2,32.65,0.55,1.6845,442693.72,1457840.241,tushare,2026-06-21 13:31:06
600150.SH,2025-12-22,33.16,33.34,33.09,33.17,33.2,-0.03,-0.0904,372160.19,1236283.466,tushare,2026-06-21 13:31:06
600150.SH,2025-12-23,33.18,33.39,32.91,33.28,33.17,0.11,0.3316,422381.44,1401741.132,tushare,2026-06-21 13:31:06
600150.SH,2025-12-24,33.18,33.44,33.11,33.37,33.28,0.09,0.2704,336764.85,1122098.252,tushare,2026-06-21 13:31:06
600150.SH,2025-12-25,33.34,33.96,33.27,33.84,33.37,0.47,1.4085,490564.39,1653235.877,tushare,2026-06-21 13:31:06
600150.SH,2025-12-26,33.76,33.88,33.51,33.68,33.84,-0.16,-0.4728,449135.34,1514365.884,tushare,2026-06-21 13:31:06
600150.SH,2025-12-29,33.66,33.88,33.47,33.54,33.68,-0.14,-0.4157,349135.15,1175246.503,tushare,2026-06-21 13:31:06
600150.SH,2025-12-30,33.54,33.71,33.25,33.26,33.54,-0.28,-0.8348,375980.0,1255819.976,tushare,2026-06-21 13:31:06
600150.SH,2025-12-31,33.27,33.56,33.17,33.26,33.26,0.0,0.0,392237.63,1307086.19,tushare,2026-06-21 13:31:06
600150.SH,2026-01-05,33.41,34.58,33.41,34.48,33.26,1.22,3.6681,1061570.95,3628082.943,tushare,2026-06-21 13:31:06
600150.SH,2026-01-06,34.3,35.25,34.23,35.11,34.48,0.63,1.8271,973087.51,3388293.548,tushare,2026-06-21 13:31:06
600150.SH,2026-01-07,35.05,35.07,34.43,34.47,35.11,-0.64,-1.8228,687794.97,2386360.39,tushare,2026-06-21 13:31:06
600150.SH,2026-01-08,34.47,36.23,34.45,35.88,34.47,1.41,4.0905,1509154.26,5382821.098,tushare,2026-06-21 13:31:06
600150.SH,2026-01-09,35.95,36.23,35.5,35.77,35.88,-0.11,-0.3066,992663.9,3558543.798,tushare,2026-06-21 13:31:06
600150.SH,2026-01-12,35.79,36.4,35.79,36.14,35.77,0.37,1.0344,967612.08,3494947.827,tushare,2026-06-21 13:31:06
600150.SH,2026-01-13,36.1,36.36,35.5,35.85,36.14,-0.29,-0.8024,908736.52,3262611.496,tushare,2026-06-21 13:31:06
600150.SH,2026-01-14,35.66,36.46,35.5,35.73,35.85,-0.12,-0.3347,1031282.99,3713294.486,tushare,2026-06-21 13:31:06
600150.SH,2026-01-15,35.45,36.29,35.43,36.0,35.73,0.27,0.7557,764585.51,2749140.124,tushare,2026-06-21 13:31:06
600150.SH,2026-01-16,36.03,36.05,35.22,35.33,36.0,-0.67,-1.8611,760223.39,2702814.746,tushare,2026-06-21 13:31:06
600150.SH,2026-01-19,35.05,36.09,34.86,35.75,35.33,0.42,1.1888,722967.85,2576364.478,tushare,2026-06-21 13:31:06
600150.SH,2026-01-20,35.7,36.05,35.35,35.57,35.75,-0.18,-0.5035,560928.09,1996840.646,tushare,2026-06-21 13:31:06
600150.SH,2026-01-21,35.51,36.0,35.17,35.27,35.57,-0.3,-0.8434,798163.54,2833065.003,tushare,2026-06-21 13:31:06
600150.SH,2026-01-22,35.4,36.4,35.29,36.06,35.27,0.79,2.2399,1273101.77,4590822.393,tushare,2026-06-21 13:31:06
600150.SH,2026-01-23,36.07,36.66,35.43,35.53,36.06,-0.53,-1.4698,1175213.09,4216530.291,tushare,2026-06-21 13:31:06
600150.SH,2026-01-26,35.56,36.1,35.14,35.34,35.53,-0.19,-0.5348,981190.66,3485058.974,tushare,2026-06-21 13:31:06
600150.SH,2026-01-27,35.33,35.35,34.77,34.9,35.34,-0.44,-1.245,685695.49,2401613.577,tushare,2026-06-21 13:31:06
600150.SH,2026-01-28,35.03,35.75,34.62,34.69,34.9,-0.21,-0.6017,953371.91,3335235.423,tushare,2026-06-21 13:31:06
600150.SH,2026-01-29,34.62,34.73,33.91,34.57,34.69,-0.12,-0.3459,996601.67,3417909.175,tushare,2026-06-21 13:31:06
600150.SH,2026-01-30,34.6,34.71,33.21,33.54,34.57,-1.03,-2.9795,1059072.59,3575833.137,tushare,2026-06-21 13:31:06
600150.SH,2026-02-02,33.7,34.46,33.05,33.1,33.54,-0.44,-1.3119,1007224.89,3390802.135,tushare,2026-06-21 13:31:06
600150.SH,2026-02-03,33.4,34.71,33.26,34.62,33.1,1.52,4.5921,1355656.42,4628450.539,tushare,2026-06-21 13:31:06
600150.SH,2026-02-04,34.49,35.6,34.39,35.11,34.62,0.49,1.4154,1104590.38,3888970.742,tushare,2026-06-21 13:31:06
600150.SH,2026-02-05,34.99,35.24,34.38,34.66,35.11,-0.45,-1.2817,565075.85,1962088.051,tushare,2026-06-21 13:31:06
600150.SH,2026-02-06,34.42,34.53,33.82,33.91,34.66,-0.75,-2.1639,640752.04,2182792.983,tushare,2026-06-21 13:31:06
600150.SH,2026-02-09,34.21,34.36,33.93,34.09,33.91,0.18,0.5308,430965.89,1468125.183,tushare,2026-06-21 13:31:06
600150.SH,2026-02-10,34.12,34.85,33.91,34.8,34.09,0.71,2.0827,875773.36,3020742.494,tushare,2026-06-21 13:31:06
600150.SH,2026-02-11,34.75,35.44,34.56,34.99,34.8,0.19,0.546,857184.98,3008454.073,tushare,2026-06-21 13:31:06
600150.SH,2026-02-12,34.85,36.48,34.69,36.06,34.99,1.07,3.058,1454635.83,5209275.425,tushare,2026-06-21 13:31:06
600150.SH,2026-02-13,35.9,36.75,35.87,36.35,36.06,0.29,0.8042,1259758.92,4587609.727,tushare,2026-06-21 13:31:06
600150.SH,2026-02-24,36.69,37.9,36.4,37.32,36.35,0.97,2.6685,1353907.64,5031448.854,tushare,2026-06-21 13:31:06
600150.SH,2026-02-25,37.14,38.3,37.12,38.1,37.32,0.78,2.09,1512817.84,5733617.501,tushare,2026-06-21 13:31:06
600150.SH,2026-02-26,37.95,38.2,37.68,38.11,38.1,0.01,0.0262,867160.08,3292817.24,tushare,2026-06-21 13:31:06
600150.SH,2026-02-27,38.0,38.28,37.59,37.75,38.11,-0.36,-0.9446,878613.86,3325584.45,tushare,2026-06-21 13:31:06
600150.SH,2026-03-02,38.1,38.38,37.67,38.13,37.75,0.38,1.0066,1185762.37,4505451.009,tushare,2026-06-21 13:31:06
600150.SH,2026-03-03,38.31,39.07,37.48,37.57,38.13,-0.56,-1.4687,1318066.79,5018454.986,tushare,2026-06-21 13:31:06
600150.SH,2026-03-04,37.29,38.86,36.78,38.56,37.57,0.99,2.6351,1509047.54,5760610.098,tushare,2026-06-21 13:31:06
600150.SH,2026-03-05,38.8,39.27,38.51,38.76,38.56,0.2,0.5187,1060742.41,4119154.719,tushare,2026-06-21 13:31:06
600150.SH,2026-03-06,38.55,39.45,38.43,38.93,38.76,0.17,0.4386,983633.88,3840170.379,tushare,2026-06-21 13:31:06
600150.SH,2026-03-09,38.64,38.78,37.25,37.32,38.93,-1.61,-4.1356,1223580.67,4617525.026,tushare,2026-06-21 13:31:06
600150.SH,2026-03-10,37.6,37.96,36.95,37.0,37.32,-0.32,-0.8574,803307.88,3000448.27,tushare,2026-06-21 13:31:06
600150.SH,2026-03-11,37.01,37.09,36.37,36.56,37.0,-0.44,-1.1892,804611.62,2950178.604,tushare,2026-06-21 13:31:06
600150.SH,2026-03-12,36.58,36.65,35.77,36.0,36.56,-0.56,-1.5317,780188.65,2817195.46,tushare,2026-06-21 13:31:06
600150.SH,2026-03-13,35.89,35.98,35.08,35.18,36.0,-0.82,-2.2778,790380.55,2809487.048,tushare,2026-06-21 13:31:06
