trade_date,trade_time,ts_code,name,open,high,low,close,volume,amount,source,created_at,pre_close,avg_price,vwap_cum,ret_from_open,ret_from_prev_min,bar_index,session
20260811,2026-08-11 13:42:00,600150.SH,中国船舶,34.33,34.34,34.32,34.33,146900.0,5042894.0,tushare,2026-08-13 20:05:40,,34.32875425459496,35.97247569127947,-0.001163805644457394,-0.0002912055911474809,30390,afternoon
20260811,2026-08-11 13:43:00,600150.SH,中国船舶,34.33,34.33,34.32,34.33,86100.0,2955523.0,tushare,2026-08-13 20:05:40,,34.32663182346109,35.97246468435116,-0.001163805644457394,0.0,30391,afternoon
20260811,2026-08-11 13:44:00,600150.SH,中国船舶,34.33,34.34,34.32,34.33,112695.0,3868628.0,tushare,2026-08-13 20:05:40,,34.32830205421713,35.97245029239021,-0.001163805644457394,0.0,30392,afternoon
20260811,2026-08-11 13:45:00,600150.SH,中国船舶,34.33,34.35,34.33,34.35,196700.0,6755444.0,tushare,2026-08-13 20:05:40,,34.343894255210984,35.972425411209656,-0.000581902822228586,0.0005825808330905957,30393,afternoon
20260811,2026-08-11 13:46:00,600150.SH,中国船舶,34.35,34.36,34.35,34.35,155100.0,5328575.0,tushare,2026-08-13 20:05:40,,34.35573823339781,35.9724059353572,-0.000581902822228586,0.0,30394,afternoon
20260811,2026-08-11 13:47:00,600150.SH,中国船舶,34.35,34.36,34.34,34.35,111000.0,3812890.0,tushare,2026-08-13 20:05:40,,34.35036036036036,35.97239195104951,-0.000581902822228586,0.0,30395,afternoon
20260811,2026-08-11 13:48:00,600150.SH,中国船舶,34.34,34.35,34.33,34.33,242400.0,8322936.0,tushare,2026-08-13 20:05:40,,34.335544554455446,35.97236113424731,-0.001163805644457394,-0.0005822416302766475,30396,afternoon
20260811,2026-08-11 13:49:00,600150.SH,中国船舶,34.33,34.33,34.31,34.32,164205.0,5635083.0,tushare,2026-08-13 20:05:40,,34.31736548826162,35.97234002734708,-0.0014547570555716316,-0.00029129041654518684,30397,afternoon
20260811,2026-08-11 13:50:00,600150.SH,中国船舶,34.31,34.32,34.31,34.31,141600.0,4859092.0,tushare,2026-08-13 20:05:40,,34.31562146892655,35.9723218073443,-0.001745708466685869,-0.0002913752913752399,30398,afternoon
20260811,2026-08-11 13:51:00,600150.SH,中国船舶,34.31,34.33,34.31,34.31,203595.0,6986219.0,tushare,2026-08-13 20:05:40,,34.31429553770967,35.97229559003629,-0.001745708466685869,0.0,30399,afternoon
20260811,2026-08-11 13:52:00,600150.SH,中国船舶,34.31,34.32,34.3,34.32,155000.0,5317655.0,tushare,2026-08-13 20:05:40,,34.30745161290323,35.972275548565484,-0.0014547570555716316,0.00029146021568049463,30400,afternoon
