trade_date,ts_code,asof_time,asof_price_1400,next_trade_date,next_close,actual_return_vs_1400,actual_up_label,actual_down_label,actual_flat_label,actual_limitup_label,feature_return_from_open_to_1400,feature_return_from_vwap_to_1400,feature_high_drawdown_until_1400,feature_low_rebound_until_1400,feature_intraday_volatility_until_1400,feature_volume_until_1400,feature_amount_until_1400,feature_morning_volume_ratio,feature_afternoon_volume_ratio,feature_vwap_deviation,feature_price_slope_morning,feature_price_slope_afternoon,feature_volume_slope_afternoon,feature_range_until_1400,feature_close_position_until_1400,feature_version,label_version,created_at
20251120,600150.SH,14:00,34.56,20251121,34.26,-0.008680555555555691,0,1,0,0,-0.004034582132564912,-0.001450207219092503,-0.0074669730040206606,0.0043591979075852105,0.0008988654494079584,45727637.0,1582642294.0,0.8332926321996477,0.16670736780035234,-0.001450207219092503,0.0002500000000000095,-0.002372881355932213,-2957.508474576271,0.011815561959654284,0.36585365853659596,intraday_1400_v1,t1_close_vs_1400_v1,2026-08-17 20:05:48
20260525,600150.SH,14:00,37.76,20260526,38.69,0.024629237288135597,1,0,0,0,-0.014870858335507497,-0.0064038438540052756,-0.030303030303030276,0.0029216467463479834,0.0016179213157794072,62368746.0,2370222383.0,0.7672120904916062,0.23278790950839384,-0.0064038438540052756,-0.005000000000000012,0.0011864406779661064,-17019.694915254237,0.03365510044351681,0.08527131782945697,intraday_1400_v1,t1_close_vs_1400_v1,2026-08-17 20:05:48
20251231,600150.SH,14:00,33.31,20260105,34.48,0.0351245872110475,1,0,0,0,0.0012022843402463845,-0.0008457941216393206,-0.0074493444576877454,0.004220681338559018,0.0007882673401924861,29483776.0,982935940.0,0.8137960687260682,0.1862039312739318,-0.0008457941216393206,0.000833333333333286,0.0,-4924.016949152542,0.011722272317403082,0.3589743589743599,intraday_1400_v1,t1_close_vs_1400_v1,2026-08-17 20:05:48
20251211,600150.SH,14:00,34.24,20251212,34.21,-0.0008761682242991453,0,1,1,0,-0.01183261183261175,-0.004346679032537382,-0.013256484149855918,0.002635431918008857,0.0007314157910357976,35056855.0,1205587015.0,0.6981492777945997,0.3018507222054003,-0.004346679032537382,-0.0020000000000000165,-0.002372881355932213,-1955.7796610169491,0.015873015873015997,0.16363636363636858,intraday_1400_v1,t1_close_vs_1400_v1,2026-08-17 20:05:48
20260403,600150.SH,14:00,30.63,20260407,31.98,0.044074436826640584,1,0,0,0,-0.0090585571012618,0.00022128899482298792,-0.011935483870967767,0.007565789473684248,0.0009112056852198598,27598918.0,845167832.0,0.7311574678398625,0.2688425321601376,0.00022128899482298792,-0.0029999999999999953,0.002542372881355908,-7244.474576271186,0.019411193788418032,0.38333333333333314,intraday_1400_v1,t1_close_vs_1400_v1,2026-08-17 20:05:48
20260122,600150.SH,14:00,36.21,20260123,35.53,-0.018779342723004633,0,1,0,0,0.022881355932203418,0.0041991421857201505,-0.005219780219780201,0.026069708132615554,0.001524816966870846,107062309.0,3860515356.0,0.8082441879709507,0.19175581202904937,0.0041991421857201505,0.003666666666666707,0.006440677966101738,27505.57627118644,0.031355932203389815,0.8288288288288308,intraday_1400_v1,t1_close_vs_1400_v1,2026-08-17 20:05:48
20251230,600150.SH,14:00,33.28,20251231,33.26,-0.0006009615384616751,0,1,1,0,-0.007751937984496027,-0.004843158140196646,-0.012755858795609587,0.0009022556390978487,0.0006535194485085744,27837991.0,930957113.0,0.6747990542852033,0.32520094571479674,-0.004843158140196646,-0.0011666666666666713,-0.0013559322033898015,-2257.406779661017,0.013714967203339323,0.06521739130435018,intraday_1400_v1,t1_close_vs_1400_v1,2026-08-17 20:05:48
20260717,600150.SH,14:00,32.49,20260720,33.01,0.016004924592182057,1,0,0,0,-0.006118078923218029,0.0018907808510169044,-0.01186131386861311,0.011519302615193183,0.0015509691243045071,74454275.0,2414454191.0,0.7326482193265599,0.2673517806734402,0.0018907808510169044,0.0,-0.001016949152542291,-3116.406779661017,0.023248699908228976,0.4868421052631606,intraday_1400_v1,t1_close_vs_1400_v1,2026-08-17 20:05:48
20260629,600150.SH,14:00,33.68,20260630,33.79,0.0032660332541567527,1,0,0,0,0.0098950524737631,0.011885832601068902,-0.006196518146945995,0.024642531183449945,0.0021523132945381255,75446515.0,2511191029.0,0.7757970663058459,0.22420293369415406,0.011885832601068902,0.0013333333333333049,0.006101694915254228,-13275.152542372882,0.030584707646177003,0.7941176470588234,intraday_1400_v1,t1_close_vs_1400_v1,2026-08-17 20:05:48
20251204,600150.SH,14:00,33.51,20251205,33.77,0.0077588779468815705,1,0,0,0,-0.005637982195845881,-0.0004785204813538835,-0.009166173861620441,0.005702280912364799,0.000801118395471611,41526465.0,1392218047.0,0.8737884382886913,0.12621156171130868,-0.0004785204813538835,0.000500000000000019,-0.0037288135593220146,-163.0677966101695,0.014836795252225518,0.37999999999999545,intraday_1400_v1,t1_close_vs_1400_v1,2026-08-17 20:05:48
